Gene Symbol,Gene,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of FC,-log10(P),FC
Uhmk1,ENSMUSG00000026667,Sex,male,1,0.5291,0.0848,0.3628,0.6953,38.90,4e-10,7.0969239e-6,0.7633113162,0.1223797202,5.1489298493,1.6973820385
,ENSMUSG00000118607,Sex,male,1,-0.9323,0.1584,-1.2427,-0.6219,34.66,3.9e-9,0.0000313489,-1.344980292,0.2284692762,4.503777718,0.3936593657
Fcrl5,ENSMUSG00000048031,Sex,male,1,-1.9455,0.3354,-2.6028,-1.2882,33.65,6.6e-9,0.0000350232,-2.806742554,0.4838410607,4.4556439619,0.1429177931
Ddx3y,ENSMUSG00000069045,Sex,male,1,2.8425,0.5014,1.8598,3.8252,32.14,1.4e-8,0.0000571258,4.1008584946,0.7233470341,4.2431679307,17.158582803
Mzb1,ENSMUSG00000024353,Sex,male,1,-1.1104,0.2014,-1.5051,-0.7156,30.39,3.5e-8,0.0000989651,-1.60190495,0.2905802622,4.00451774,0.3294416921
Nmi,ENSMUSG00000026946,Sex,male,1,-0.8528,0.1550,-1.1565,-0.5491,30.29,3.7e-8,0.0000989651,-1.230306621,0.223555784,4.00451774,0.4262268489
Mybbp1a,ENSMUSG00000040463,Sex,male,1,-1.0836,0.1991,-1.4738,-0.6934,29.63,5.2e-8,0.0001192401,-1.563351523,0.2872205539,3.9235775355,0.338364115
Rtn4,ENSMUSG00000020458,Sex,male,1,0.8748,0.1620,0.5573,1.1922,29.16,6.7e-8,0.0001325341,1.2620107487,0.2336936211,3.8776724649,2.3982976959
Nbdy,ENSMUSG00000086316,Sex,male,1,0.8351,0.1577,0.5260,1.1441,28.04,1.2e-7,0.0002104488,1.2047227373,0.227510516,3.6768534947,2.3049296808
Ocel1,ENSMUSG00000002396,Sex,male,1,-0.9334,0.1786,-1.2834,-0.5835,27.33,1.7e-7,0.0002488699,-1.346658878,0.257609363,3.6040275542,0.3932016068
Ric8a,ENSMUSG00000025485,Sex,male,1,0.4829,0.0921,0.3024,0.6634,27.48,1.6e-7,0.0002488699,0.6966699976,0.1328904679,3.6040275542,1.6207594644
Mif4gd,ENSMUSG00000020743,Sex,male,1,-0.7664,0.1471,-1.0547,-0.4780,27.14,1.9e-7,0.0002517242,-1.105644778,0.2122447579,3.5990749976,0.4646947408
Utp6,ENSMUSG00000035575,Sex,male,1,-0.6916,0.1337,-0.9536,-0.4296,26.76,2.3e-7,0.0002823775,-0.997757987,0.1928780949,3.5491699648,0.5007776266
Rida,ENSMUSG00000022323,Sex,male,1,0.9492,0.1855,0.5856,1.3129,26.18,3.1e-7,0.0003546574,1.3694509669,0.2676644403,3.4501909245,2.583722211
Peg10,ENSMUSG00000092035,Sex,male,1,0.9843,0.1942,0.6038,1.3648,25.70,4e-7,0.0004232821,1.4200248167,0.2801004272,3.3733701247,2.675901139
Ppm1m,ENSMUSG00000020253,Sex,male,1,-0.4660,0.0926,-0.6474,-0.2845,25.32,4.9e-7,0.0004661151,-0.672236951,0.133591203,3.3315067973,0.62753292
Pfkl,ENSMUSG00000020277,Sex,male,1,-0.6219,0.1247,-0.8664,-0.3775,24.87,6.1e-7,0.0004661151,-0.897269839,0.1799139556,3.3315067973,0.5369018053
Thbs1,ENSMUSG00000040152,Sex,male,1,0.9027,0.1812,0.5476,1.2578,24.82,6.3e-7,0.0004661151,1.3022731357,0.2613868586,3.3315067973,2.4661715104
Serpinb6a,ENSMUSG00000060147,Sex,male,1,0.9807,0.1951,0.5982,1.3631,25.25,5e-7,0.0004661151,1.4148015044,0.2815369879,3.3315067973,2.6662304911
Snrpa,ENSMUSG00000061479,Sex,male,1,-0.8699,0.1745,-1.2119,-0.5278,24.84,6.2e-7,0.0004661151,-1.254976157,0.2517870195,3.3315067973,0.4190004918
Hist1h2ac,ENSMUSG00000069270,Sex,male,1,1.1026,0.2215,0.6685,1.5368,24.78,6.4e-7,0.0004661151,1.5907205092,0.3195709227,3.3315067973,3.0119973677
Gm3379,ENSMUSG00000113625,Sex,male,1,-2.3331,0.4668,-3.2480,-1.4181,24.98,5.8e-7,0.0004661151,-3.36592735,0.6734847646,3.3315067973,0.0969962411
Fyco1,ENSMUSG00000025241,Sex,male,1,0.5756,0.1165,0.3473,0.8038,24.42,7.7e-7,0.0005355992,0.830382629,0.1680240142,3.2711600618,1.7781568994
Ankrd28,ENSMUSG00000014496,Sex,male,1,0.9429,0.1933,0.5640,1.3218,23.79,1.1e-6,0.0006854231,1.3603325511,0.2789095601,3.1640412685,2.5674435402
Cd84,ENSMUSG00000038147,Sex,male,1,0.6425,0.1316,0.3845,0.9004,23.83,1.1e-6,0.0006854231,0.9268769559,0.1898710882,3.1640412685,1.9011560504
Napsa,ENSMUSG00000002204,Sex,male,1,-0.8042,0.1656,-1.1288,-0.4797,23.58,1.2e-6,0.00073304,-1.160263658,0.2389197138,3.1348723439,0.4474307584
Gm20594,ENSMUSG00000096887,Sex,male,1,1.7795,0.3686,1.0571,2.5020,23.31,1.4e-6,0.0008149143,2.5673170415,0.5317823033,3.0888880443,5.9270615588
1110032A03Rik,ENSMUSG00000037971,Sex,male,1,0.7783,0.1621,0.4606,1.0960,23.06,1.6e-6,0.0008949253,1.1229067086,0.233851517,3.0482132017,2.177853196
Zwint,ENSMUSG00000019923,Sex,male,1,0.6038,0.1265,0.3558,0.8518,22.77,1.8e-6,0.001003926,0.8711098852,0.1825586665,2.9982983096,1.8290694877
Itgb1,ENSMUSG00000025809,Sex,male,1,0.7484,0.1581,0.4385,1.0583,22.40,2.2e-6,0.0011122473,1.0797128062,0.2281398005,2.9537986345,2.1136152869
Fcmr,ENSMUSG00000042474,Sex,male,1,-0.8342,0.1759,-1.1790,-0.4895,22.50,2.1e-6,0.0011122473,-1.203546962,0.2537438842,2.9537986345,0.4342064427
BC030336,ENSMUSG00000046096,Sex,male,1,0.7949,0.1680,0.4656,1.1242,22.38,2.2e-6,0.0011122473,1.146769986,0.2423920617,2.9537986345,2.2141761269
Gimap7,ENSMUSG00000043931,Sex,male,1,-0.9115,0.1933,-1.2903,-0.5327,22.24,2.4e-6,0.0011624142,-1.314975361,0.2788427507,2.9346390867,0.4019323597
Dstn,ENSMUSG00000015932,Sex,male,1,0.7298,0.1551,0.4257,1.0338,22.13,2.6e-6,0.0011971498,1.0528089264,0.2238235462,2.9218515097,2.0745650951
Dbnl,ENSMUSG00000020476,Sex,male,1,-0.4125,0.0883,-0.5856,-0.2395,21.84,3e-6,0.0013477419,-0.595173692,0.1273490684,2.8703932548,0.6619647537
Sgip1,ENSMUSG00000028524,Sex,male,1,2.6060,0.5598,1.5088,3.7031,21.67,3.2e-6,0.0014097601,3.7596065821,0.807577394,2.8508547866,13.544231029
Ptprcap,ENSMUSG00000045826,Sex,male,1,-0.6507,0.1398,-0.9248,-0.3766,21.65,3.3e-6,0.0014097601,-0.938768057,0.2017608081,2.8508547866,0.5216781604
Tsc22d1,ENSMUSG00000022010,Sex,male,1,0.9470,0.2039,0.5473,1.3466,21.57,3.4e-6,0.0014313735,1.3661611765,0.2941627638,2.8442470322,2.5778372384
Vmn1r13,ENSMUSG00000064259,Sex,male,1,2.4528,0.5302,1.4136,3.4920,21.40,3.7e-6,0.0015229681,3.5386452634,0.7649418017,2.8173092069,11.620862653
Sec11c,ENSMUSG00000024516,Sex,male,1,0.4792,0.1041,0.2752,0.6832,21.20,4.1e-6,0.0016178815,0.6913553757,0.1501359888,2.7910532837,1.6147998699
Olfr646,ENSMUSG00000073931,Sex,male,1,3.0304,0.6583,1.7401,4.3207,21.19,4.2e-6,0.0016178815,4.3719371008,0.9497836202,2.7910532837,20.705427728
Psmc5,ENSMUSG00000020708,Sex,male,1,-0.5663,0.1234,-0.8081,-0.3245,21.07,4.4e-6,0.0016787201,-0.816990968,0.177979338,2.775021716,0.5676246048
Ptpn22,ENSMUSG00000027843,Sex,male,1,-0.7941,0.1734,-1.1340,-0.4542,20.96,4.7e-6,0.0017222684,-1.145633972,0.2502209891,2.7638991656,0.4519910242
F13a1,ENSMUSG00000039109,Sex,male,1,0.8601,0.1880,0.4917,1.2286,20.93,4.8e-6,0.0017222684,1.2408924866,0.2712160075,2.7638991656,2.363446957
Mylk,ENSMUSG00000022836,Sex,male,1,0.9455,0.2077,0.5384,1.3525,20.73,5.3e-6,0.0018199251,1.3640047529,0.2996098528,2.7399464854,2.5739869745
Rtn3,ENSMUSG00000024758,Sex,male,1,0.6464,0.1421,0.3679,0.9248,20.70,5.4e-6,0.0018199251,0.9325335713,0.2049581655,2.7399464854,1.9086248629
Lrrn3,ENSMUSG00000036295,Sex,male,1,0.9263,0.2033,0.5278,1.3248,20.76,5.2e-6,0.0018199251,1.3363138393,0.2933211505,2.7399464854,2.5250532965
Tmsb4x,ENSMUSG00000049775,Sex,male,1,0.6598,0.1453,0.3750,0.9446,20.61,5.6e-6,0.0018652529,0.9518636811,0.2096497606,2.72926227,1.9343698738
Nsfl1c,ENSMUSG00000027455,Sex,male,1,-0.6397,0.1414,-0.9168,-0.3626,20.47,6.1e-6,0.0018947589,-0.922906076,0.2039959494,2.722446039,0.5274454957
Rhof,ENSMUSG00000029449,Sex,male,1,-0.5619,0.1242,-0.8052,-0.3186,20.48,6e-6,0.0018947589,-0.810651294,0.1791216166,2.722446039,0.5701244215
Igkv6-15,ENSMUSG00000094797,Sex,male,1,-2.1782,0.4811,-3.1211,-1.2354,20.50,6e-6,0.0018947589,-3.142534513,0.6940203283,2.722446039,0.1132407792
Tomm40l,ENSMUSG00000005674,Sex,male,1,-0.8940,0.1980,-1.2820,-0.5060,20.39,6.3e-6,0.0019013979,-1.289717736,0.2856067742,2.7209270005,0.4090310485
Erlec1,ENSMUSG00000020311,Sex,male,1,0.7560,0.1674,0.4279,1.0842,20.39,6.3e-6,0.0019013979,1.0907458049,0.2415690551,2.7209270005,2.1298411072
Tmbim1,ENSMUSG00000006301,Sex,male,1,1.1697,0.2599,0.6603,1.6792,20.26,6.8e-6,0.0020000111,1.6875750432,0.3749702856,2.6989676043,3.2211482107
Cct5,ENSMUSG00000022234,Sex,male,1,-0.4927,0.1103,-0.7088,-0.2766,19.96,7.9e-6,0.0022466533,-0.710772593,0.1590806391,2.6484639339,0.610992852
Gm45716,ENSMUSG00000110344,Sex,male,1,1.0179,0.2277,0.5717,1.4642,19.99,7.8e-6,0.0022466533,1.4685749306,0.3284956742,2.6484639339,2.7674839126
Pea15a,ENSMUSG00000013698,Sex,male,1,0.6807,0.1531,0.3807,0.9808,19.78,8.7e-6,0.0022732229,0.9821115225,0.2208410316,2.643357982,1.9753544149
